English,French,Portuguese
Dry,Sec,Seco
Hard,Dur,Duro
Soft,Mou,Macio
Rough,Rugueux,Ãspero
Smooth,Lisse,Liso
Fast,Rapide,rápido
Slow,Lent,Lento
Quick,Rapide,rápido
Easy,Facile,fácil
Difficult,Difficile,difícil
Simple,Simple,Simples
Complex,Complexe,Complexo
TRUE,Vrai,Verdadeiro
FALSE,Faux,Falso
Right,Juste,Certo
Wrong,Faux,Errado
Full,Plein,Cheio
Empty,Vide,Vazio
Open,Ouvert,Aberto
Closed,fermé,Fechado
Young,Jeune,Jovem
Alive,Vivant,Vivo
Dead,Mort,Morto
Happy,Heureux,Feliz
Sad,Triste,Triste
Angry,en colère,Irritado
Scared,effrayé,Assustado
Tired,fatigué,Cansado
Hungry,affamé,Faminto
Thirsty,assoiffé,Sedento
Sick,Malade,Doente
Well,Bien,Bem
Healthy,Sain,saudável
Beautiful,Beau,Bonito
Ugly,Laid,Feio
Cute,Mignon,Fofo
Kind,Gentil,Gentil
Nice,bon,Legal
Mean,signifier,Mau
Polite,Poli,Educado
Rude,Impoli,Rude
Quiet,Calme,Silencioso
Loud,Fort,Alto
Rich,Riche,Rico
Poor,Pauvre,Pobre
Free,Libre,Livre
Busy,occupé,Ocupado
Ready,prêt,Pronto
Sure,bien sûr,Certo
Able,Capable,Capaz
Same,même,Mesmo
Different,différent,Diferente
Other,Autre,Outro
Such,Tel,Tal
More,Plus,Mais
Less,Moins,Menos
Most,Plus,Mais
Least,Moins,Menos
Many,Beaucoup,Muitos
Much,Beaucoup,Muito
Few,Peu,Poucos
Several,Plusieurs,diversos
Some,Quelques,Alguns
Any,N'importe,Qualquer
Every,Chaque,Cada
All,Tout,Todos
No,Non,não
Each,Chaque,Cada
Both,Les deux,Ambos
Another,Un autre,Outro
Whole,Entier,Inteiro
Half,moitié,Meio
Even,Pair,Par
Odd,Impair,Ãmpar
Now,Maintenant,Agora
Then,Alors,então
Here,Ici,Aqui
There,LÃ ,lá
Up,Haut,Acima
Down,Bas,Abaixo
In,Dans,Em
Out,Dehors,Fora
Today,Aujourd'hui,Hoje
Yesterday,Hier,Ontem
Tomorrow,Demain,amanhã
Always,Toujours,Sempre
Never,Jamais,Nunca
Often,Souvent,Frequentemente
Seldom,Rarement,Raramente
Sometimes,Parfois,às vezes
Usually,Habituellement,Geralmente
Well,Bien,Bem
Badly,Mal,Mal
Fast,Vite,rápido
Slowly,Lentement,Lentamente
Quickly,Rapidement,Rapidamente
Carefully,Soigneusement,Cuidadosamente
Loudly,Fort,Alto
Quietly,Doucement,Silenciosamente
Easily,Facilement,Facilmente
Hardly,à peine,Dificilmente
Very,très,Muito
Really,Vraiment,Realmente
Quite,Assez,Bastante
Too,Trop,Demais
Enough,Assez,Suficiente
Just,Juste,Apenas
Already,déjà,já
Yet,Encore,Ainda
Still,Encore,Ainda
Ago,Il y a,atrás
Soon,bientôt,Em breve
Early,TÃ´t,Cedo
Late,Tard,Tarde
Near,près,Perto
Far,Loin,Longe
Away,Loin,Longe
Together,Ensemble,Juntos
Apart,à part,Separado
Alone,Seul,Sozinho
Also,Aussi,também
Else,Autre,Mais
Indeed,En effet,De fato
Maybe,peut être,Talvez
Perhaps,peut-être,Talvez
Probably,Probablement,Provavelmente
Definitely,Certainement,Definitivamente
Surely,sûrement,Certamente
Certainly,Certainement,Certamente
Anyway,n'importe où,De qualquer forma
Anywhere,n'importe où,Em qualquer lugar
Nowhere,Nulle part,Em lugar nenhum
Somewhere,Quelque part,Em algum lugar
Everywhere,Partout,Em todo lugar
Therefore,Donc,Portanto
Thus,Ainsi,Assim
However,Cependant,Contudo
Nevertheless,Néanmoins,No entanto
Moreover,De plus,além disso
Furthermore,En outre,além disso
Hence,ainsi,DaÃ­
And,Et,E
Or,Ou,Ou
But,Mais,Mas
So,Alors,então
If,Si,Se
Because,Parce que,Porque
While,Pendant que,Enquanto
Than,Que,Que
Though,Bien que,Embora
Although,Bien que,Embora
Unless,sauf si,A menos que
Until,jusqu'à,até
Whether,Si,Se
Since,Depuis,Desde
Before,Avant,Antes
After,après,Depois
Nor,Ni,Nem
About,Sur,Sobre
Above,Au-dessus,Acima
Across,à travers,entre
Among,Parmi,Entre
Around,Autour,Ao redor
At,à,Em
Behind,derrière,atrás
Below,En dessous,Abaixo
Beside,à côté de,Ao lado de
Between,Entre,Entre
By,Par,Por
Down,Bas,Abaixo
During,Pendant,Durante
Except,Sauf,Exceto
For,Pour,Para
From,De,De
Inside,à l'intérieur,Dentro
Into,Dans,Para dentro
Like,Comme,Como
Near,près,Perto
Off,Hors,Fora
On,Sur,Em
Onto,Sur,Sobre
Outside,dehors,Fora
Over,Sur,Sobre
Through,à travers,através
Toward,Vers,em direção a
Under,Sous,Abaixo
Up,Haut,Para cima
With,Avec,Com
Without,Sans,Sem
Of,De,De
To,à,Para
The,Le,O
A,Un,Um
An,Un,Um
Man,Homme,Homem
Woman,Femme,Mulher
Child,Enfant,criança
Boy,garçon,Menino
Girl,Fille,Menina
Baby,bébé,bebê
Family,Famille,FamÃ­lia
Father,père,Pai
Mother,mère,mãe
Son,Fils,Filho
Daughter,Fille,Filha
Brother,frère,irmão
Sister,sœur,irmã
Friend,Ami,Amigo
Teacher,Professeur,Professor
Student,étudiant,Estudante
Doctor,médecin,doutor
Nurse,infirmier,Enfermeira
Police,Police,polícia
Soldier,Soldat,Soldado
King,Roi,Rei
Queen,Reine,Rainha
President,président,Presidente
Boss,Patron,Chefe
Worker,Travailleur,Trabalhador
People,Gens,Pessoas
Head,tête,cabeça
Face,Visage,Rosto
Eye,œil,Olho
Ear,Oreille,Orelha
Nose,Nez,Nariz
Mouth,Bouche,Boca
Tooth,Dent,Dente
Tongue,Langue,língua
Hair,Cheveux,Cabelo
Body,Corps,Corpo
Arm,Bras,braço
Hand,Main,mão
Finger,Doigt,Dedo
Leg,Jambe,Perna
Foot,Pied,pé
Toe,Orteil,dedo do pé
Heart,cœur,coração
Brain,Cerveau,cérebro
Skin,Peau,Pele
Bone,Os,Osso
Blood,Sang,Sangue
Life,Vie,Vida
Death,Mort,Morte
Time,Temps,Tempo
Day,Jour,Dia
Night,Nuit,Noite
Morning,Matin,manhã
Evening,Soir,Noite
Afternoon,après-midi,Tarde
Week,Semaine,Semana
Month,Mois,mês
Year,année,Ano
Hour,Heure,Hora
Minute,Minute,Minuto
Second,Seconde,Segundo
Future,Futur,Futuro
Past,passé,Passado
Present,présent,Presente
History,Histoire,história
Story,Histoire,história
Name,Nom,Nome
Word,Mot,Palavra
Letter,Lettre,Letra
Number,Nombre,NÃºmero
Line,Ligne,Linha
Point,Point,Ponto
Circle,Cercle,CÃ­rculo
Square,carré,Quadrado
Triangle,Triangle,triângulo
Shape,Forme,Forma
Color,Couleur,Cor
Size,Taille,Tamanho
Weight,Poids,Peso
Speed,Vitesse,Velocidade
Sound,Son,Som
Music,Musique,MÃºsica
Song,Chanson,canção
Art,Art,Arte
Picture,Image,Imagem
Photo,Photo,Foto
Film,Film,Filme
Game,Jeu,Jogo
Sport,Sport,Esporte
Ball,Balle,Bola
Team,équipe,Equipe
Prize,Prix,prêmio
Gift,Cadeau,Presente
Money,Argent,Dinheiro
Bank,Banque,Banco
Market,marché,Mercado
Price,Prix,preço
Cost,coût,Custo
Value,Valeur,Valor
Work,Travail,Trabalho
School,école,Escola
Office,Bureau,escritório
Store,Magasin,Loja
Shop,Boutique,Loja
Park,Parc,Parque
Garden,Jardin,Jardim
Hospital,HÃ´pital,Hospital
Church,église,Igreja
Temple,Temple,Templo
Mosque,mosquée,Mesquita
Street,Rue,Rua
Road,Route,Estrada
Bridge,Pont,Ponte
River,rivière,Rio
Lake,Lac,Lago
Sea,Mer,Mar
Ocean,océan,Oceano
Island,Ãle,Ilha
Mountain,Montagne,Montanha
Forest,forêt,Floresta
Tree,Arbre,Ãrvore
Flower,Fleur,Flor
Plant,Plante,Planta
Animal,Animal,Animal
Dog,Chien,cachorro
Cat,Chat,Gato
Bird,Oiseau,pássaro
Horse,Cheval,Cavalo
Cow,Vache,Vaca
Pig,Cochon,Porco
Chicken,Poulet,Frango
Lion,Lion,leão
Tiger,Tigre,Tigre
Bear,Ours,Urso
Wolf,Loup,Lobo
Snake,Serpent,Cobra
Spider,araignée,Aranha
Insect,Insecte,Inseto
Fly,Mouche,Mosca
Ant,Fourmi,Formiga
Bee,Abeille,Abelha
Love,Amour,Amor
Hate,Haine,odiar
Joy,Joie,Alegria
Sadness,Tristesse,Tristeza
Fear,Peur,Medo
Anger,colère,Raiva
Hope,Espoir,ter esperança
Dream,rêve,Sonho
Luck,Chance,Sorte
Rest,Repos,Descanso
Sleep,Sommeil,Sono
Problem,problème,Problema
Solution,Solution,solução
Question,Question,Pergunta
Answer,répondre,Resposta
Idea,idée,Ideia
Thought,pensé,Pensamento
Fact,Fait,Fato
Truth,vérité,Verdade
Lie,Mensonge,Mentira
Rule,règle,Regra
Law,Loi,Lei
Right,Droit,Direito
Duty,Devoir,Dever
Power,Pouvoir,Poder
Force,Force,vigor
Energy,énergie,Energia
Heat,Chaleur,Calor
Cold,Froid,Frio
Effect,Effet,Efeito
Cause,Cause,Causa
Reason,Raison,razão
Result,résultat,Resultado
Purpose,But,propósito
Plan,Plan,Plano
Action,Action,Ação
Event,événement,Evento
Change,Changement,mudança
Growth,Croissance,Crescimento
Age,Ã‚ge,Idade
Way,Chemin,Caminho
Path,Sentier,Caminho
Direction,Direction,direção
Middle,Milieu,Meio
Top,Haut,Topo
Bottom,Bas,Fundo
Side,côté,Lado
Front,Devant,Frente
Back,Dos,Costas
End,Fin,Fim
Start,commencer,InÃ­cio
Beginning,début,InÃ­cio
Distance,Distance,distância
Length,Longueur,Comprimento
Width,Largeur,Largura
Height,Hauteur,Altura
Depth,Profondeur,Profundidade
Area,Zone,Ãrea
Volume,Volume,Volume
Surface,Surface,SuperfÃ­cie
Edge,Bord,Borda
Center,Centre,Centro
North,Nord,Norte
South,Sud,Sul
East,Est,Leste
West,Ouest,Oeste
House,Maison,Casa
Home,Maison,Lar
Room,chambre,Quarto
Door,Porte,Porta
Window,fenêtre,Janela
Wall,Mur,Parede
Floor,Plancher,chão
Ceiling,Plafond,Teto
Roof,Toit,Telhado
Table,Table,Mesa
Chair,Chaise,Cadeira
Bed,Lit,Cama
Sofa,canapé,sofá
Lamp,Lampe,lâmpada
Computer,Ordinateur,Computador
Phone,téléphone,Telefone
Car,Voiture,Carro
Bus,Bus,ônibus
Train,Train,Trem
Plane,Avion,palne
Boat,Bateau,Barco
Ship,Navire,Navio
Street,Rue,Rua
City,Ville,Cidade
Town,Ville,Cidade
Country,Pays,PaÃ­s
World,Monde,Mundo
Earth,Terre,Terra
Sky,Ciel,céu
Sun,Soleil,Sol
Moon,Lune,Lua
Star,étoile,Estrela
Cloud,Nuage,Nuvem
Rain,Pluie,Chuva
Snow,Neige,Neve
Wind,Vent,Vento
Air,Air,Ar
Water,Eau,Ãgua
Fire,Feu,Fogo
Food,Nourriture,Comida
Drink,Boisson,Bebida
Bread,Pain,pão
Milk,Lait,Leite
Coffee,café,café
Tea,thé,chá
Sugar,Sucre,açúcar
Salt,Sel,Sal
Meat,Viande,Carne
Fish,Poisson,Peixe
Egg,œuf,Ovo
Fruit,Fruit,Fruta
Vegetable,légume,Vegetal
Rice,Riz,Arroz
Pasta,pâtes,Massa
Soup,Soupe,Sopa
Juice,Jus,Suco
Wine,Vin,Vinho
Beer,bière,Cerveja
