English,French,Portuguese,sim_en_fr,sim_fr_pt,sim_pt_en
Nineteen,Dix-neuf,Dezenove,0.97028446,0.87261397,0.86825633
Twenty,Vingt,Vinte,0.9531502,0.9855611,0.95360565
Thirty,Trente,Trinta,0.9769704,0.9864354,0.9698781
Forty,Quarante,Quarenta,0.95321476,0.9967719,0.9513671
Fifty,Cinquante,Cinquenta,0.9737833,0.99096376,0.9761133
Sixty,Soixante,Sessenta,0.9680365,0.97193223,0.9572026
Seventy,Soixante-dix,Setenta,0.95360076,0.94604194,0.9480469
Eighty,Quatre-vingts,Oitenta,0.9145511,0.9110762,0.97374403
Ninety,Quatre-vingt-dix,Noventa,0.89627665,0.92077935,0.957544
Hundred,Cent,Cem,0.9303527,0.95953137,0.96290314
Thousand,Mille,Mil,0.9689578,0.9541661,0.95619327
Million,Million,milhão,1.0000005,0.9674889,0.9674889
Zero,zéro,Zero,0.9517782,0.9517782,0.9999998
First,Premier,Primeiro,0.9288694,0.81144625,0.775738
Second,second,Segundo,0.9535406,0.57945454,0.7450554
Third,troisième,Terceiro,0.8848017,0.8655544,0.9436416
Last,Dernier,Último,0.79454714,0.84913206,0.8189788
Next,Prochain,próximo,0.9615743,0.9612167,0.92639613
Old,Vieux,Velho,0.93012,0.96677613,0.89454544
New,Nouveau,Novo,0.91180915,0.97856635,0.9099069
Good,Bon,Bom,0.9563146,0.9358786,0.9166551
Bad,Mauvais,Mau,0.7829025,0.95364666,0.7198977
Big,Grand,Grande,0.9099537,0.93163335,0.7820517
Small,Petit,Pequeno,0.9466126,0.89808357,0.8552404
Large,Grand,Grande,0.941258,0.93163335,0.8662149
Little,Petit,Pequeno,0.957983,0.89808357,0.88283116
Long,Long,Longo,0.9999997,0.93614626,0.93614626
Short,Court,Curto,0.92806405,0.9485372,0.946974
Tall,Grand,Alto,0.9469182,0.9640194,0.9346515
Low,Bas,Baixo,0.95237,0.91175973,0.9484392
High,Haut,Alto,0.9409193,0.9145206,0.92493325
Wide,Large,Largo,0.96729296,0.9420782,0.955757
Narrow,étroit,Estreito,0.94787514,0.95754653,0.93854374
Thick,épais,Grosso,0.93311334,0.9782813,0.9433643
Thin,Mince,Fino,0.9633336,0.990069,0.9612459
Heavy,Lourd,Pesado,0.9680884,0.9425435,0.95458525
Light,lumière,Leve,0.9024032,0.9666076,0.8896589
Red,Rouge,Vermelho,0.9495642,0.9865231,0.95688397
Blue,Bleu,Azul,0.9607391,0.9770622,0.93791544
Green,Vert,Verde,0.9613416,0.9338348,0.9623184
Yellow,Jaune,Amarelo,0.91656107,0.97340626,0.9303399
Black,Noir,Preto,0.96340734,0.93535143,0.94449914
White,Blanc,Branco,0.9581275,0.96364564,0.95140797
Brown,Brun,Marrom,0.95855033,0.97262025,0.96575314
Orange,Orange,Laranja,1.0000001,0.972766,0.972766
Pink,Rose,Rosa,0.95864713,0.97817224,0.91992563
Purple,Violet,Roxo,0.9672202,0.98975575,0.9694356
Gray,Gris,Cinza,0.95829314,0.9705085,0.96906585
Clean,Propre,Limpo,0.9427242,0.97106606,0.91794795
Dirty,Sale,Sujo,0.96352714,0.8941618,0.81769997
Hot,Chaud,Quente,0.9390794,0.9724422,0.93091744
Cold,Froid,Frio,0.9777849,0.9809903,0.98277426
Warm,Chaud,Morno,0.9456637,0.9746261,0.9600649
Cool,Frais,Fresco,0.96874017,0.9836773,0.9828134
Wet,mouillé,Molhado,0.9691337,0.9794268,0.961277
Dry,Sec,Seco,0.9609389,0.9454177,0.9875661
Hard,Dur,Duro,0.9558038,0.9617639,0.94045734
Soft,Mou,Macio,0.93651545,0.9734626,0.94121164
Rough,Rugueux,Áspero,0.98698616,0.9084108,0.8749205
Smooth,Lisse,Liso,0.9698146,0.99184096,0.97051936
Fast,Rapide,rápido,0.95125407,0.97431326,0.93485934
Slow,Lent,Lento,0.931134,0.96791416,0.9162142
Quick,Rapide,rápido,0.9089534,0.97431326,0.8965098
Easy,Facile,fácil,0.9724028,0.96979743,0.9455771
Difficult,Difficile,difícil,0.98808855,0.98055315,0.9673192
Simple,Simple,Simples,1.0000007,0.9252254,0.9252254
Complex,Complexe,Complexo,0.9723127,0.98881656,0.96325076
TRUE,Vrai,Verdadeiro,0.90365154,0.95530516,0.85553086
FALSE,Faux,Falso,0.9212031,0.98340267,0.9260382
Right,Juste,Certo,0.8479128,0.91828614,0.770951
Wrong,Faux,Errado,0.9553707,0.9604991,0.921817
Full,Plein,Cheio,0.8999433,0.9434515,0.81266135
Empty,Vide,Vazio,0.89268863,0.97515863,0.93379927
Open,Ouvert,Aberto,0.86189574,0.93739754,0.93596804
Closed,fermé,Fechado,0.9110764,0.9707611,0.91446245
Young,Jeune,Jovem,0.9224884,0.85975885,0.91375166
Alive,Vivant,Vivo,0.9180823,0.9676613,0.91540563
Dead,Mort,Morto,0.9322566,0.9565374,0.91626203
Happy,Heureux,Feliz,0.9599621,0.9639656,0.9488032
Sad,Triste,Triste,0.9698609,1.0,0.9698609
Angry,en colère,Irritado,0.9163757,0.9538452,0.95734006
Scared,effrayé,Assustado,0.96550024,0.96652234,0.9737159
Tired,fatigué,Cansado,0.95931995,0.9636631,0.9866551
Hungry,affamé,Faminto,0.94748193,0.9647876,0.9606218
Thirsty,assoiffé,Sedento,0.94448173,0.97694033,0.9621729
Sick,Malade,Doente,0.9605321,0.91070354,0.88012743
Well,Bien,Bem,0.9471004,0.9323082,0.87079465
Healthy,Sain,saudável,0.929289,0.94235986,0.9296208
Beautiful,Beau,Bonito,0.9830834,0.96171296,0.9596667
Ugly,Laid,Feio,0.8917324,0.9585012,0.9506581
Cute,Mignon,Fofo,0.98811907,0.97146636,0.97968847
Kind,Gentil,Gentil,0.8683152,1.0000005,0.8683152
Nice,bon,Legal,0.9532498,0.9603718,0.9700468
Mean,signifier,Mau,0.9406974,0.7255558,0.7907766
Polite,Poli,Educado,0.98200506,0.92397016,0.9483791
Rude,Impoli,Rude,0.9681118,0.9681118,1.0
Quiet,Calme,Silencioso,0.97105455,0.98145247,0.95717406
Loud,Fort,Alto,0.9747045,0.9384207,0.93994874
Rich,Riche,Rico,0.97397476,0.9862186,0.9701298
Poor,Pauvre,Pobre,0.9257435,0.9291714,0.95289403
Free,Libre,Livre,0.9330456,0.96062696,0.9399567
Busy,occupé,Ocupado,0.915877,0.93769264,0.9114133
Ready,prêt,Pronto,0.9101549,0.79767287,0.76767397
Sure,bien sûr,Certo,0.92603594,0.9242407,0.8661764
Able,Capable,Capaz,0.951221,0.9573982,0.974581
Same,même,Mesmo,0.8039824,0.8756248,0.70484257
Different,différent,Diferente,0.87346125,0.90633327,0.89532244
Other,Autre,Outro,0.940693,0.8296226,0.8526881
Such,Tel,Tal,0.92287225,0.96485096,0.90226275
More,Plus,Mais,0.9659945,0.93485945,0.85936046
Less,Moins,Menos,0.9395992,0.92343783,0.8110537
Most,Plus,Mais,0.9730343,0.93485945,0.92336106
Least,Moins,Menos,0.9751622,0.92343783,0.9080417
Many,Beaucoup,Muitos,0.9124755,0.8930356,0.8488147
Much,Beaucoup,Muito,0.89844525,0.8803025,0.85457844
Few,Peu,Poucos,0.88062006,0.91429055,0.887845
Several,Plusieurs,diversos,0.9417931,0.8991137,0.9205362
Some,Quelques,Alguns,0.9142929,0.89801323,0.86332047
Any,N'importe,Qualquer,0.95423156,0.78147256,0.75246125
Every,Chaque,Cada,0.8998366,0.9398335,0.89097524
All,Tout,Todos,0.8715466,0.88495994,0.7954849
No,Non,não,0.9245063,0.7762195,0.9150693
Each,Chaque,Cada,0.8888688,0.9398335,0.87014383
Both,Les deux,Ambos,0.9004924,0.9200896,0.88958895
Another,Un autre,Outro,0.9479807,0.8964032,0.89496154
Whole,Entier,Inteiro,0.928834,0.94065994,0.96242434
Half,moitié,Meio,0.9362731,0.9660505,0.8899629
Even,Pair,Par,0.8868043,0.88488275,0.9050964
Odd,Impair,Ímpar,0.935465,0.91938055,0.97109014
Now,Maintenant,Agora,0.9274147,0.9318361,0.86080253
Then,Alors,então,0.9304077,0.89992166,0.8986061
Here,Ici,Aqui,0.9453388,0.9365492,0.92143506
There,Là,lá,0.7514633,0.8149846,0.9215886
Up,Haut,Acima,0.9175214,0.8927029,0.8897538
Down,Bas,Abaixo,0.9263095,0.9176521,0.8814693
In,Dans,Em,0.85795176,0.8877471,0.92519146
Out,Dehors,Fora,0.7458086,0.9340801,0.8639372
Today,Aujourd'hui,Hoje,0.9599454,0.9115889,0.8951926
Yesterday,Hier,Ontem,0.9126098,0.89903754,0.9722606
Tomorrow,Demain,amanhã,0.9670725,0.95335335,0.9628098
Always,Toujours,Sempre,0.8918431,0.87011206,0.7620834
Never,Jamais,Nunca,0.9309215,0.9434642,0.84134805
Often,Souvent,Frequentemente,0.96160775,0.942487,0.9431216
Seldom,Rarement,Raramente,0.9469492,0.99163824,0.934874
Sometimes,Parfois,às vezes,0.9333632,0.9205993,0.90225476
Usually,Habituellement,Geralmente,0.95826006,0.9605934,0.9715141
Well,Bien,Bem,0.9471004,0.9323082,0.87079465
Badly,Mal,Mal,0.9078803,1.0000001,0.9078803
Fast,Vite,rápido,0.94606763,0.9829343,0.93485934
Slowly,Lentement,Lentamente,0.9566021,0.9912082,0.94557893
Quickly,Rapidement,Rapidamente,0.9547707,0.9720699,0.9137624
Carefully,Soigneusement,Cuidadosamente,0.96618235,0.9620085,0.9470001
Loudly,Fort,Alto,0.96333486,0.9384207,0.9451358
Quietly,Doucement,Silenciosamente,0.9754074,0.9536559,0.94480735
Easily,Facilement,Facilmente,0.98582834,0.9659439,0.9692354
Hardly,à peine,Dificilmente,0.89936346,0.901342,0.9352469
Very,très,Muito,0.93104833,0.8654665,0.87373114
Really,Vraiment,Realmente,0.9623982,0.9062256,0.8631666
Quite,Assez,Bastante,0.9206329,0.96033424,0.9619528
Too,Trop,Demais,0.95286644,0.9688935,0.9355033
Enough,Assez,Suficiente,0.9711383,0.9245229,0.95850575
Just,Juste,Apenas,0.91931695,0.91672766,0.8763314
Already,déjà,já,0.9037754,0.88245076,0.82559264
Yet,Encore,Ainda,0.95904315,0.8990363,0.8831956
Still,Encore,Ainda,0.92366487,0.8990363,0.83338594
Ago,Il y a,atrás,0.9013074,0.9149887,0.9735081
Soon,bientôt,Em breve,0.9719579,0.8779179,0.8989981
Early,Tôt,Cedo,0.93101454,0.9725273,0.9113076
Late,Tard,Tarde,0.9759756,0.96813667,0.97655106
Near,près,Perto,0.8521581,0.90624344,0.93330765
Far,Loin,Longe,0.9059141,0.9401694,0.97372425
Away,Loin,Longe,0.9584005,0.9401694,0.97348887
Together,Ensemble,Juntos,0.9568333,0.95791155,0.95400524
Apart,à part,Separado,0.81711537,0.8443852,0.9634248
Alone,Seul,Sozinho,0.9370101,0.9726879,0.9513032
Also,Aussi,também,0.93027735,0.9066199,0.8577987
Else,Autre,Mais,0.89970034,0.87163436,0.7613929
Indeed,En effet,De fato,0.9287038,0.96384007,0.91342247
Maybe,peut être,Talvez,0.95130104,0.8839454,0.90187657
Perhaps,peut-être,Talvez,0.95559996,0.8941835,0.9278574
Probably,Probablement,Provavelmente,0.887446,0.9546662,0.9197838
Definitely,Certainement,Definitivamente,0.9563936,0.95732915,0.9764456
Surely,sûrement,Certamente,0.9431702,0.9624087,0.9413301
Certainly,Certainement,Certamente,0.9956379,0.9644028,0.9597886
Anyway,n'importe où,De qualquer forma,0.945904,0.8854584,0.8982385
Anywhere,n'importe où,Em qualquer lugar,0.9533019,0.88212794,0.86104774
Nowhere,Nulle part,Em lugar nenhum,0.937162,0.9034518,0.86159
Somewhere,Quelque part,Em algum lugar,0.9333935,0.89616036,0.9126214
Everywhere,Partout,Em todo lugar,0.9513127,0.87259895,0.9238955
Therefore,Donc,Portanto,0.968422,0.91354567,0.9073419
Thus,Ainsi,Assim,0.9463025,0.8817269,0.89990234
However,Cependant,Contudo,0.9561543,0.91762185,0.91158485
Nevertheless,Néanmoins,No entanto,0.9562016,0.93706375,0.9457738
Moreover,De plus,além disso,0.9333015,0.94940203,0.94733346
Furthermore,En outre,além disso,0.93994683,0.944961,0.93783224
Hence,ainsi,Daí,0.92314184,0.90218973,0.93268746
And,Et,E,0.9359854,0.9525404,0.9620484
Or,Ou,Ou,0.88506985,1.0000006,0.88506985
But,Mais,Mas,0.9257729,0.95785457,0.93723834
So,Alors,então,0.88859445,0.89992166,0.85071564
If,Si,Se,0.9412037,0.96854043,0.91801685
Because,Parce que,Porque,0.9256885,0.9256137,0.9348614
While,Pendant que,Enquanto,0.8844404,0.8920176,0.88682395
Than,Que,Que,0.8578341,1.0000006,0.8578341
Though,Bien que,Embora,0.94472396,0.92516047,0.89100915
Although,Bien que,Embora,0.95011556,0.92516047,0.9046769
Unless,sauf si,A menos que,0.96563643,0.94378626,0.91985625
Until,jusqu'à,até,0.90547365,0.94957167,0.89380646
Whether,Si,Se,0.9427785,0.96854043,0.899641
Since,Depuis,Desde,0.9304152,0.94604915,0.92643464
Before,Avant,Antes,0.8999625,0.91110617,0.8242144
After,après,Depois,0.8918323,0.90185136,0.8159432
Nor,Ni,Nem,0.96099436,0.96108145,0.90873986
About,Sur,Sobre,0.934225,0.926624,0.9181284
Above,Au-dessus,Acima,0.8864027,0.88458055,0.9343551
Across,à travers,entre,0.9510257,0.9343296,0.94923383
Among,Parmi,Entre,0.91986567,0.90215474,0.93105775
Around,Autour,Ao redor,0.9578281,0.8359953,0.89633507
At,à,Em,0.8673786,0.9474359,0.91958284
Behind,derrière,atrás,0.88750535,0.9636808,0.9196427
Below,En dessous,Abaixo,0.9091584,0.9173682,0.92788404
Beside,á côtè de,Ao lado de,0.8042041,0.91150045,0.7577706
Between,Entre,Entre,0.91374,1.0000002,0.91374
By,Par,Por,0.9170878,0.91264695,0.84779334
Down,Bas,Abaixo,0.9263095,0.9176521,0.8814693
During,Pendant,Durante,0.9242387,0.9244186,0.88406664
Except,Sauf,Exceto,0.90150106,0.9150209,0.94278365
For,Pour,Para,0.82541656,0.942906,0.804104
From,De,De,0.88237053,1.0,0.88237053
Inside,à l'intérieur,Dentro,0.8639098,0.93766475,0.85202706
Into,Dans,Para dentro,0.7838755,0.919247,0.743495
Like,Comme,Como,0.9285576,0.9425299,0.9140767
Near,près,Perto,0.8521581,0.90624344,0.93330765
Off,Hors,Fora,0.940621,0.9680154,0.9049853
On,Sur,Em,0.95368505,0.9352319,0.9081425
Onto,Sur,Sobre,0.9457635,0.926624,0.888374
Outside,dehors,Fora,0.9619877,0.97144735,0.9788878
Over,Sur,Sobre,0.89246804,0.926624,0.7895751
Through,à travers,através,0.8961931,0.91410184,0.9232858
Toward,Vers,em direção a,0.96482813,0.8643671,0.87752813
Under,Sous,Abaixo,0.9319738,0.90590096,0.92708343
Up,Haut,Para cima,0.9175214,0.7386061,0.66879505
With,Avec,Com,0.84028256,0.8068033,0.91245437
Without,Sans,Sem,0.885838,0.8464162,0.88517153
Of,De,De,0.87040615,1.0,0.87040615
To,à,Para,0.81036407,0.9439435,0.77750033
The,Le,O,0.9571464,0.947631,0.9332811
A,Un,Um,0.92479396,0.91545254,0.9415996
An,Un,Um,0.96455455,0.91545254,0.8938837
Man,Homme,Homem,0.9303905,0.9440249,0.9735435
Woman,Femme,Mulher,0.9707497,0.9478526,0.9402781
Child,Enfant,criança,0.7823664,0.9479429,0.7824124
Boy,garçon,Menino,0.942775,0.9721283,0.96508354
Girl,Fille,Menina,0.9582763,0.959759,0.9608991
Baby,bébé,bebê,0.9415609,0.9339793,0.94958913
Family,Famille,Família,0.9374593,0.9732581,0.905494
Father,pére,Pai,0.97846466,0.9233479,0.9357947
Mother,mère,mãe,0.95343244,0.9771415,0.9377021
Son,Fils,Filho,0.94722986,0.8672069,0.9031965
Daughter,Fille,Filha,0.9773517,0.96185803,0.9680571
Brother,frère,irmão,0.9439562,0.9711186,0.9364152
Sister,sœur,irmã,0.96207577,0.9699789,0.968263
Friend,Ami,Amigo,0.9245215,0.97724074,0.9291382
Teacher,Professeur,Professor,0.94303566,0.9476011,0.9256043
Student,étudiant,Estudante,0.8932215,0.9520082,0.87464225
Doctor,médecin,doutor,0.9066332,0.96139026,0.9190662
Nurse,infirmier,Enfermeira,0.9496663,0.89729464,0.92450595
Police,Police,polícia,1.0000004,0.93775797,0.93775797
Soldier,Soldat,Soldado,0.9759042,0.97772104,0.95297503
King,Roi,Rei,0.95381033,0.9699747,0.94058233
Queen,Reine,Rainha,0.92309296,0.9518803,0.9795244
President,président,Presidente,0.9382356,0.922959,0.94208264
Boss,Patron,Chefe,0.96945727,0.9131481,0.9023723
Worker,Travailleur,Trabalhador,0.85227287,0.9252729,0.80719763
People,Gens,Pessoas,0.8986563,0.93477935,0.9558703
Head,tête,cabeça,0.92609966,0.9727862,0.8885155
Face,Visage,Rosto,0.9824268,0.9655323,0.9440204
Eye,œil,Olho,0.87835634,0.819962,0.93206364
Ear,Oreille,Orelha,0.8592557,0.9775287,0.80876905
Nose,Nez,Nariz,0.9815901,0.975902,0.9585245
Mouth,Bouche,Boca,0.9864841,0.9818403,0.97331136
Tooth,Dent,Dente,0.9506723,0.9817845,0.9485114
Tongue,Langue,língua,0.90720856,0.8535073,0.9345431
Hair,Cheveux,Cabelo,0.9376537,0.96198225,0.9586713
Body,Corps,Corpo,0.91308355,0.98464674,0.90873784
Arm,Bras,braço,0.9496702,0.8773061,0.80210406
Hand,Main,mão,0.97191256,0.6900054,0.7176315
Finger,Doigt,Dedo,0.95111203,0.9679702,0.9899745
Leg,Jambe,Perna,0.8458504,0.9730803,0.9162215
Foot,Pied,pé,0.9429757,0.95480424,0.87939197
Toe,Orteil,dedo do pé,0.97973883,0.95952696,0.94209075
Heart,cœur,coração,0.95759386,0.97713625,0.9408685
Brain,Cerveau,cérebro,0.97013134,0.97309244,0.9697074
Skin,Peau,Pele,0.9357371,0.97675824,0.9252875
Bone,Os,Osso,0.8660896,0.9862261,0.90219265
Blood,Sang,Sangue,0.8621618,0.9756776,0.89101374
Life,Vie,Vida,0.9449194,0.9544707,0.9622118
Death,Mort,Morte,0.9361293,0.9641589,0.93292433
Time,Temps,Tempo,0.9843121,0.9450214,0.9376495
Day,Jour,Dia,0.94423753,0.8795317,0.8994814
Night,Nuit,Noite,0.96104026,0.9397844,0.92652124
Morning,Matin,manhã,0.975301,0.9298079,0.9342934
Evening,Soir,Noite,0.9039777,0.9109111,0.954179
Afternoon,après-midi,Tarde,0.9225779,0.8993694,0.9537686
Week,Semaine,Semana,0.9074334,0.97900546,0.8875057
Month,Mois,mês,0.93179685,0.9707989,0.93599826
Year,année,Ano,0.82729256,0.88321257,0.91304576
Hour,Heure,Hora,0.9549973,0.97519284,0.92682195
Minute,Minute,Minuto,1.0000007,0.98481774,0.98481774
Second,Seconde,Segundo,0.9812325,0.7210737,0.7450554
Future,Futur,Futuro,0.929221,0.9679794,0.9488759
Past,passé,Passado,0.9297442,0.9704956,0.9296487
Present,présent,Presente,0.9536532,0.9332933,0.9608467
History,Histoire,história,0.8159626,0.83107007,0.926659
Story,Histoire,história,0.8457463,0.83107007,0.9377018
Name,Nom,Nome,0.9251551,0.8966614,0.8812054
Word,Mot,Palavra,0.9288854,0.9108,0.9155267
Letter,Lettre,Letra,0.8788751,0.93983424,0.88742995
Number,Nombre,Número,0.9400884,0.94965196,0.8587118
Line,Ligne,Linha,0.85937214,0.93459535,0.8974957
Point,Point,Ponto,0.9999998,0.94510984,0.94510984
Circle,Cercle,Círculo,0.9102763,0.9678138,0.91594446
Square,carré,Quadrado,0.9139128,0.9722288,0.9095272
Triangle,Triangle,triângulo,0.9999997,0.8697303,0.8697303
Shape,Forme,Forma,0.92765695,0.9298628,0.8270787
Color,Couleur,Cor,0.9289905,0.92286766,0.9009024
Size,Taille,Tamanho,0.8771896,0.9625493,0.9023331
Weight,Poids,Peso,0.9497969,0.9736073,0.9212823
Speed,Vitesse,Velocidade,0.958636,0.96716994,0.96870005
Sound,Son,Som,0.8279879,0.90016437,0.8327546
Music,Musique,Música,0.9564065,0.8915871,0.8524394
Song,Chanson,canção,0.9435783,0.93084854,0.9364522
Art,Art,Arte,0.9999997,0.93530685,0.93530685
Picture,Image,Imagem,0.99176335,0.9375781,0.9392369
Photo,Photo,Foto,0.9999995,0.89070994,0.89070994
Film,Film,Filme,0.9999997,0.96558815,0.96558815
Game,Jeu,Jogo,0.9130522,0.98768383,0.8956389
Sport,Sport,Esporte,0.9999996,0.9476587,0.9476587
Ball,Balle,Bola,0.9668144,0.98898005,0.9476064
Team,équipe,Equipe,0.8531241,0.8424757,0.96711075
Prize,Prix,prêmio,0.9626617,0.96702427,0.9541382
Gift,Cadeau,Presente,0.961295,0.94319344,0.95191276
Money,Argent,Dinheiro,0.8927227,0.94090956,0.90640604
Bank,Banque,Banco,0.95137393,0.902548,0.8376003
Market,marché,Mercado,0.9037388,0.9257913,0.9133493
Price,Prix,preço,0.92654926,0.9231324,0.95082027
Cost,coût,Custo,0.9244477,0.96260995,0.9377139
Value,Valeur,Valor,0.95195836,0.9428962,0.90911275
Work,Travail,Trabalho,0.89554924,0.86692244,0.8261313
School,école,Escola,0.91000617,0.9326305,0.8362135
Office,Bureau,escritório,0.958273,0.94397855,0.94040346
Store,Magasin,Loja,0.9135065,0.9255225,0.8501822
Shop,Boutique,Loja,0.9491377,0.921313,0.89019454
Park,Parc,Parque,0.9711156,0.9419739,0.9468227
Garden,Jardin,Jardim,0.979789,0.98183244,0.96895725
Hospital,Hôpital,Hospital,0.9588229,0.9588229,1.0000004
Church,église,Igreja,0.82704085,0.94771403,0.8772089
Temple,Temple,Templo,1.0000001,0.98264897,0.98264897
Mosque,mosquée,Mesquita,0.9524227,0.9879715,0.9747121
Street,Rue,Rua,0.95705414,0.9641862,0.9371868
Road,Route,Estrada,0.9763629,0.8860828,0.92450756
Bridge,Pont,Ponte,0.9310275,0.9821149,0.933469
River,rivière,Rio,0.9713116,0.92268723,0.94611734
Lake,Lac,Lago,0.9697512,0.9717067,0.9894254
Sea,Mer,Mar,0.9063343,0.9820732,0.94314754
Ocean,océan,Oceano,0.9658309,0.96282136,0.9878004
Island,Île,Ilha,0.91074675,0.9536515,0.9057228
Mountain,Montagne,Montanha,0.95405525,0.9698215,0.95399964
Forest,forêt,Floresta,0.93619734,0.9218938,0.9365347
Tree,Arbre,Árvore,0.93356556,0.910066,0.8200601
Flower,Fleur,Flor,0.9693068,0.9731486,0.9622488
Plant,Plante,Planta,0.9597137,0.85785526,0.91134363
Animal,Animal,Animal,0.99999964,0.99999964,0.99999964
Dog,Chien,cachorro,0.97052693,0.9284988,0.94639295
Cat,Chat,Gato,0.963467,0.89762604,0.9396138
Bird,Oiseau,pássaro,0.9621201,0.9509722,0.96725166
Horse,Cheval,Cavalo,0.9203447,0.9662245,0.95410955
Cow,Vache,Vaca,0.9617424,0.98446614,0.9550383
Pig,Cochon,Porco,0.9746218,0.9275741,0.87172943
Chicken,Poulet,Frango,0.9224167,0.95137745,0.9704128
Lion,Lion,leão,0.9999997,0.9622566,0.9622566
Tiger,Tigre,Tigre,0.9894624,0.99999946,0.9894624
Bear,Ours,Urso,0.9460864,0.95349807,0.9754343
Wolf,Loup,Lobo,0.9828227,0.990998,0.97859067
Snake,Serpent,Cobra,0.94644654,0.9740343,0.9752473
Spider,araignée,Aranha,0.90368503,0.92001384,0.9516881
Insect,Insecte,Inseto,0.97868294,0.9525965,0.9408868
Fly,Mouche,Mosca,0.9577068,0.9802247,0.9546987
Ant,Fourmi,Formiga,0.87665844,0.978827,0.87760746
Bee,Abeille,Abelha,0.9191913,0.95529115,0.9488675
Love,Amour,Amor,0.95328444,0.9467788,0.9457399
Hate,Haine,odiar,0.9837275,0.95143676,0.95879894
Joy,Joie,Alegria,0.93915486,0.97066903,0.9480313
Sadness,Tristesse,Tristeza,0.9781676,0.9775835,0.9581948
Fear,Peur,Medo,0.98651725,0.9857018,0.9816778
Anger,colère,Raiva,0.959638,0.9181425,0.9282091
Hope,Espoir,ter esperança,0.9199614,0.9206666,0.949596
Dream,rêve,Sonho,0.9499708,0.93301034,0.8826205
Luck,Chance,Sorte,0.9698732,0.96141076,0.9863852
Rest,Repos,Descanso,0.9844714,0.92920005,0.92366916
Sleep,Sommeil,Sono,0.93152833,0.96762645,0.9496899
Problem,problème,Problema,0.9412772,0.96821505,0.9537699
Solution,Solution,solução,0.9999999,0.91624695,0.91624695
Question,Question,Pergunta,1.0000002,0.90440065,0.90440065
Answer,répondre,Resposta,0.9034655,0.9330222,0.9467845
Idea,idée,Ideia,0.91313857,0.9144627,0.96911955
Thought,pensé,Pensamento,0.9009352,0.9734431,0.91399604
Fact,Fait,Fato,0.907369,0.979111,0.8981933
Truth,vérité,Verdade,0.9439115,0.96180934,0.93829674
Lie,Mensonge,Mentira,0.9542529,0.9741375,0.9377286
Rule,règle,Regra,0.9003317,0.9519072,0.96055853
Law,Loi,Lei,0.91279644,0.9291887,0.88180506
